單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
807,代理,だい.り,だいり,[1],名詞/他動三,代理,社長の（ ）として出席する。 / 作為社長代理出席。,彼は私の（ ）を務める。 / 他擔任我的代理。,題目：社長の（ ）として出席する。 答案：代理,,,,,
808,大量,たい.りょう,たいりょう,[0],名詞/な形,大量,（ ）の注文が届いた。 / 收到大量訂單。,（ ）のゴミを捨てる。 / 丟棄大量垃圾。,題目：（ ）の注文が届いた。 答案：大量,,,,,
809,体力,たい.りょく,たいりょく,[1],名詞,體力,（ ）をつけるために運動する。 / 為了鍛鍊體力而運動。,年を取ると（ ）が落ちる。 / 上了年紀體力就會下降。,題目：（ ）をつけるために運動する。 答案：体力,,,,,
810,大陸,たい.りく,たいりく,[0],名詞,大陸,アジア（ ）に旅行する。 / 前往亞洲大陸旅行。,（ ）の広さを感じる。 / 感受到大陸的廣闊。,題目：アジア（ ）に旅行する。 答案：大陸,,,,,
811,倒す,たお.す,たおす,[2],他動一,弄倒 / 打敗,木を（ ）。 / 把樹砍倒。,試合で相手を（ ）。 / 在比賽中打敗對手。,題目：木を（ ）。 答案：倒す,,,,,
812,宝,たから,たから,[3],名詞,寶物 / 財寶,これは私の特別な（ ）だ。 / 這是我的特別寶物。,山で（ ）を探す。 / 在山上尋找財寶。,題目：これは私の特別な（ ）だ。 答案：宝,,,,,
813,だけど,だけど,だけど,[1],慣用,但是 / 不過,難しい、（ ）面白い。 / 很難，但是很有趣。,行きたい、（ ）時間がない。 / 想去，不過沒有時間。,題目：難しい、（ ）面白い。 答案：だけど,,,,,
814,確かめる,たし.かめる,たしかめる,[4],他動二,確認 / 查明,予定をもう一度（ ）。 / 再次確認行程。,事実を（ ）必要がある。 / 有必要查明事實。,題目：予定をもう一度（ ）。 答案：確かめる,,,,,
815,多少,た.しょう,たしょう,[0],名詞 / 程度副詞,多少 / 稍微,（ ）の遅れは問題ない。 / 稍微的延遲沒有關係。,これには（ ）時間がかかる。 / 這需要花費稍微多一點的時間。,題目：（ ）の遅れは問題ない。 答案：多少,,,,,
816,多数,た.すう,たすう,[2],名詞,多數 / 許多,（ ）の人が集まった。 / 聚集了許多人。,意見は（ ）決で決める。 / 意見以多數決決定。,題目：（ ）の人が集まった。 答案：多数,,,,,
817,助ける,たす.ける,たすける,[3],他動二,幫助 / 拯救,困っている人を（ ）。 / 幫助有困難的人。,彼が命を（ ）てくれた。 / 他救了我一命。,題目：困っている人を（ ）。 答案：助ける,,,,,
818,戦い,たたか.い,たたかい,[0],名詞,戰鬥 / 競爭,厳しい（ ）が続く。 / 嚴峻的戰鬥持續著。,これは自分との（ ）だ。 / 這是與自己的競爭。,題目：厳しい（ ）が続く。 答案：戦い,,,,,
819,戦う,たたか.う,たたかう,[0],自動一,戰鬥 / 奮鬥,強い敵と（ ）。 / 與強敵戰鬥。,病気と（ ）人々。 / 與疾病奮鬥的人們。,題目：強い敵と（ ）。 答案：戦う,,,,,
820,叩く,たた.く,たたく,[2],他動一,敲 / 拍打,ドアをコンコンと（ ）。 / 叩叩叩地敲門。,肩をポンと（ ）。 / 拍了一下肩膀。,題目：ドアをコンコンと（ ）。 答案：叩く,,,,,
821,立ち上がる,た.ち.あ.がる,たちあがる,[4],自動一,站起來 / 振作,席から（ ）。 / 從座位上站起來。,失敗から（ ）。 / 從失敗中重新振作。,題目：席から（ ）。 答案：立ち上がる,,,,,
822,立場,た.ち.ば,たちば,[1],名詞,立場 / 處境,相手の（ ）になって考える。 / 站在對方的立場思考。,今の私の（ ）は難しい。 / 我現在的處境很艱難。,題目：相手の（ ）になって考える。 答案：立場,,,,,
823,経つ,た.つ,たつ,[1],自動一,（時間）經過 / 流逝,日本に来てから三年が（ ）。 / 來日本已經過了三年。,時間が（ ）のは早い。 / 時間過得真快。,題目：日本に来てから三年が（ ）。 答案：経つ,,,,,
824,建つ,た.つ,たつ,[1],自動一,建造 / 蓋起,駅前に新しいビルが（ ）。 / 車站前建起了新的大樓。,ここに立派な家が（ ）予定だ。 / 這裡預計要蓋一棟豪宅。,題目：駅前に新しいビルが（ ）。 答案：建つ,,,,,
825,達する,たっ.する,たっする,[3],自動三 / 他動三,達到 / 抵達,売上が目標に（ ）。 / 營業額達到了目標。,疲労がピークに（ ）。 / 疲勞達到了頂點。,題目：売上が目標に（ ）。 答案：達する,,,,,
826,たった,たった,たった,[0],程度副詞,僅僅 / 只,（ ）五分で終わった。 / 僅僅五分鐘就結束了。,（ ）一人の友だち。 / 唯一的（僅有的一位）朋友。,題目：（ ）五分で終わった。 答案：たった,,,,,
827,だって,だって,だって,[1],慣用,因為 / 可是,（ ）、知らなかったんだもん。 / 因為，我又不知道嘛。,私に（ ）夢はある。 / 連我也會有夢想的。,題目：（ ）、知らなかったんだもん。 答案：だって,,,,,
828,たっぷり,たっぷり,たっぷり,[3],程度副詞,充足地 / 滿滿地,栄養を（ ）取る。 / 攝取充足的營養。,時間は（ ）あるから焦らないで。 / 時間很充裕，請不用急。,題目：栄養を（ ）取る。 答案：たっぷり,,,,,
829,縦,たて,たて,[1],名詞,縱 / 豎 / 直,紙を（ ）に折る。 / 把紙縱向對折。,（ ）と横の長さを測る。 / 測量長度與寬度。,題目：紙を（ ）に折る。 答案：縦,,,,,
830,立てる,た.てる,たてる,[2],他動二,立起 / 建立 / 制定,計画を（ ）。 / 制定計畫。,看板を（ ）。 / 立起招牌。,題目：計画を（ ）。 答案：立てる,,,,,
831,例え,たと.え,たとえ,[2],名詞,比喻 / 例子,彼の（ ）は分かりやすい。 / 他的比喻很容易理解。,（ ）話をする。 / 說個比喻（舉例說明）。,題目：彼の（ ）は分かりやすい。 答案：例え,,,,,
832,谷,たに,たに,[2],名詞,山谷,深い（ ）に川が流れる。 / 深邃的山谷裡流淌著河流。,山と（ ）の景色が美しい。 / 山與谷的景色很美。,題目：深い（ ）に川が流れる。 答案：谷,,,,,
833,他人,た.にん,たにん,[0],名詞,他人 / 別人,（ ）の意見を尊重する。 / 尊重他人的意見。,もう彼とは全くの（ ）だ。 / 我和他已經是完全的陌路人了。,題目：（ ）の意見を尊重する。 答案：他人,,,,,
834,種,たね,たね,[1],名詞,種子 / 原因 / 題材,花の（ ）を蒔く。 / 播下一朵花的種子。,悩みの（ ）が尽きない。 / 煩惱的根源無窮無盡。,題目：花の（ ）を蒔く。 答案：種,,,,,
835,束,たば,たば,[1],名詞,束 / 捆,花の（ ）を贈る。 / 贈送一束花。,古い新聞を（ ）にする。 / 把舊報紙綁成一捆。,題目：花の（ ）を贈る。 答案：束,,,,,
836,度,たび,たび,[2],名詞,次 / 回 / 度,会う（ ）にきれいになる。 / 每次見面都變得更漂亮。,三（ ）目の正直。 / 事不過三。,題目：会う（ ）にきれいになる。 答案：度,,,,,
837,旅,たび,たび,[2],名詞,旅行 / 旅程,一人で（ ）に出る。 / 一個人去旅行。,人生は長い（ ）のようなものだ。 / 人生就像一段漫長的旅程。,題目：一人で（ ）に出る。 答案：旅,,,,,
838,度々,たび.たび,たびたび,[1],時間副詞,屢次 / 常常,（ ）お邪魔してすみません。 / 常常打擾您，真是不好意思。,彼には（ ）世話になった。 / 受了他屢次的照顧。,題目：（ ）お邪魔してすみません。 答案：度々,,,,,
839,多分,た.ぶん,たぶん,[1],陳述副詞,大概 / 或許,明日は（ ）雨が降るだろう。 / 明天大概會下雨吧。,彼も（ ）来ると思います。 / 我想他大概也會來。,題目：明日は（ ）雨が降るだろう。 答案：多分,,,,,
840,偶,たま,たま,[0],名詞 / な形,偶然 / 偶爾,（ ）の休みに旅行する。 / 在偶爾的休假去旅行。,彼に会うのはごく（ ）だ。 / 見到他極為偶然（極少見）。,題目：（ ）の休みに旅行する。 答案：偶,,,,,
841,偶々,たま.たま,たまたま,[0],情態副詞,偶然 / 碰巧,駅で（ ）友だちに会った。 / 在車站碰巧遇到了朋友。,これは（ ）見つけた本だ。 / 這是偶然找到的一本書。,題目：駅で（ ）友だちに会った。 答案：偶々,,,,,
842,黙る,だま.る,だまる,[2],自動一,沉默 / 不作聲,彼は何も言わずに（ ）っていた。 / 他什麼也沒說，保持著沉默。,授業中は（ ）って話を聞きなさい。 / 上課時請安靜聽講。,題目：彼は何も言わずに（ ）っていた。 答案：黙る,,,,,
843,試す,ため.す,ためす,[2],他動一,嘗試 / 試驗,新しいやり方を（ ）。 / 嘗試新的作法。,洋服を試着室で（ ）。 / 在試衣間試穿衣服。,題目：新しいやり方を（ ）。 答案：試す,,,,,
844,頼る,たよ.る,たよる,[2],自動一 / 他動一,依賴 / 憑藉,親に（ ）らずに生活する。 / 不依賴父母生活。,記憶を（ ）って歩く。 / 憑藉著記憶行走。,題目：親に（ ）らずに生活する。 答案：頼る,,,,,
845,単位,たん.い,たんい,[1],名詞,單位 / 學分,長さの（ ）はメートルだ。 / 長度的單位是公尺。,大学で（ ）を落とさないようにする。 / 在大學注意不要被當（掉學分）。,題目：長さの（ ）はメートルだ。 答案：単位,,,,,
846,単語,たん.ご,たんご,[0],名詞,單字 / 詞彙,毎日新しい（ ）を覚える。 / 每天記憶新的單字。,英語の（ ）帳を作る。 / 製作英語單字卡。,題目：毎日新しい（ ）を覚える。 答案：単語,,,,,
847,男子,だん.し,だんし,[1],名詞,男子 / 男生,（ ）トイレは右側です。 / 男生廁所在右邊。,クラスの（ ）がサッカーをする。 / 班上的男生踢足球。,題目：（ ）トイレは右側です。 答案：男子,,,,,
848,単純,たん.じゅん,たんじゅん,[0],な形,單純 / 簡單,理由はとても（ ）だ。 / 理由非常單純。,（ ）な作業を繰り返す。 / 重複單純的作業。,題目：理由はとても（ ）だ。 答案：単純,,,,,
849,誕生,たん.じょう,たんじょう,[0],名詞 / 自動三,誕生,新しい命が（ ）した。 / 新的生命誕生了。,友だちの（ ）日を祝う。 / 慶祝朋友的生日。,題目：新しい命が（ ）した。 答案：誕生,,,,,
850,ダンス,ダンス,ダンス,[1],名詞 / 自動三,舞蹈,音楽に合わせて（ ）を踊る。 / 配合著音樂跳舞。,（ ）の練習をする。 / 練習舞蹈。,題目：音楽に合わせて（ ）を踊る。 答案：ダンス,,,,,
851,団体,だん.たい,だんたい,[0],名詞,團體,（ ）で旅行すると安くなる。 / 團體旅行會比較便宜。,学生（ ）に入って活動する。 / 加入學生團體進行活動。,題目：（ ）で旅行すると安くなる。 答案：団体,,,,,
852,担当,たん.とう,たんとう,[0],名詞 / 他動三,負責 / 擔當,私は営業を（ ）しています。 / 我負責業務工作。,掃除の（ ）を決める。 / 決定打掃的負責人。,題目：私は営業を（ ）しています。 答案：担当,,,,,
853,単なる,たん.なる,たんなる,[1],連體詞,單純的 / 僅僅的,これは（ ）噂に過ぎない。 / 這僅僅是個謠言。,（ ）間違いですから気にしないで。 / 這只是個單純的錯誤，請別在意。,題目：これは（ ）噂に過ぎない。 答案：単なる,,,,,
854,単に,たん.に,たんに,[1],程度副詞,單純地 / 僅僅,（ ）運が良かっただけだ。 / 只是單純運氣好而已。,それは（ ）時間の問題だ。 / 那單純只是時間的問題。,題目：（ ）運が良かっただけだ。 答案：単に,,,,,
855,地位,ち.い,ちい,[1],名詞,地位,会社で高い（ ）につく。 / 在公司獲得很高的地位。,社会的な（ ）を確立する。 / 確立社會地位。,題目：会社で高い（ ）につく。 答案：地位,,,,,
856,地域,ち.いき,ちいき,[1],名詞,地域 / 地區,この（ ）は雨が多い。 / 這個地區雨水很多。,（ ）の行事に参加する。 / 參加地區的活動。,題目：この（ ）は雨が多い。 答案：地域,,,,,
857,チーム,チーム,チーム,[1],名詞,團隊 / 隊伍,強い（ ）と試合をする。 / 與強隊進行比賽。,（ ）ワークが大切だ。 / 團隊合作很重要。,題目：強い（ ）と試合をする。 答案：チーム,,,,,
858,知恵,ち.え,ちえ,[2],名詞,智慧 / 點子,お年寄りの（ ）を借りる。 / 借鑑長輩的智慧。,みんなで（ ）を出し合う。 / 大家一起出謀劃策。,題目：お年寄りの（ ）を借りる。 答案：知恵,,,,,
859,チェックイン,チェックイン,チェックイン,[4],名詞 / 自動三,辦理入住 / 報到,ホテルで（ ）を済ませる。 / 在飯店辦妥入住手續。,15時から（ ）が可能です。 / 15點開始可以辦理入住。,題目：ホテルで（ ）を済ませる。 答案：チェックイン,,,,,
860,チェックアウト,チェックアウト,チェックアウト,[4],名詞 / 自動三,辦理退房,明日は朝10時に（ ）する。 / 明天早上10點辦理退房。,（ ）の時間を延長する。 / 延長退房時間。,題目：明日は朝10時に（ ）する。 答案：チェックアウト,,,,,
861,地下,ち.か,ちか,[1],名詞,地下,デパートの（ ）で買い物をする。 / 在百貨公司的地下室購物。,（ ）鉄に乗って駅へ行く。 / 搭乘地下鐵前往車站。,題目：デパートの（ ）で買い物をする。 答案：地下,,,,,
862,違い,ちが.い,ちがい,[0],名詞,不同 / 差異,二つの商品の（ ）を説明する。 / 說明兩件商品的不同。,考え方に大きな（ ）がある。 / 想法上有很大的差異。,題目：二つの商品の（ ）を説明する。 答案：違い,,,,,
863,近頃,ちか.ごろ,ちかごろ,[2],時間副詞 / 名詞,近來 / 最近,（ ）はずっと天気が良い。 / 近來天氣一直很晴朗。,（ ）の若者は流行に敏感だ。 / 最近的年輕人對流行很敏感。,題目：（ ）はずっと天気が良い。 答案：近頃,,,,,
864,地球,ち.きゅう,ちきゅう,[0],名詞,地球,（ ）は太陽の周りを回る。 / 地球繞著太陽轉。,（ ）の環境を守る。 / 保護地球環境。,題目：（ ）は太陽の周りを回る。 答案：地球,,,,,
865,地区,ち.く,ちく,[1],名詞,地區 / 區域,住宅（ ）に新しい公園ができた。 / 住宅區建了新的公園。,この（ ）の防災訓練に参加する。 / 參加這個地區的防災訓練。,題目：住宅（ ）に新しい公園ができた。 答案：地区,,,,,
866,遅刻,ち.こく,ちこく,[0],名詞 / 自動三,遲到,電車が遅れて授業に（ ）した。 / 由於電車誤點，上課遲到了。,朝寝坊して会社に（ ）する。 / 因為睡過頭而上班遲到。,題目：電車が遅れて授業に（ ）した。 答案：遅刻,,,,,
867,知事,ち.じ,ちじ,[1],名詞,知事 / 縣長,新しい東京都（ ）が選ばれた。 / 選出了新的東京都知事。,（ ）が記者会見を開く。 / 知事召開記者會。,題目：新しい東京都（ ）が選ばれた。 答案：知事,,,,,
868,知識,ち.しき,ちしき,[1],名詞,知識,本を読んで（ ）を増やす。 / 透過閱讀書籍增加知識。,彼には専門的な（ ）がある。 / 他擁有專業的知識。,題目：本を読んで（ ）を増やす。 答案：知識,,,,,
869,地方,ち.ほう,ちほう,[2],名詞,地方 / 鄉下,夏休みに（ ）の祖母を訪ねる。 / 暑假去拜訪住在鄉下的奶奶。,関東（ ）で地震があった。 / 關東地方發生了地震。,題目：夏休みに（ ）の祖母を訪ねる。 答案：地方,,,,,
870,チャレンジ,チャレンジ,チャレンジ,[2],名詞 / 自動三,挑戰,新しい仕事に（ ）する。 / 挑戰新的工作。,何度でも（ ）することが大切だ。 / 無論幾次都去挑戰是很重要的。,題目：新しい仕事に（ ）する。 答案：チャレンジ,,,,,
871,チャンス,チャンス,チャンス,[1],名詞,機會,絶好の（ ）を掴む。 / 抓住絕佳的機會。,日本へ行く（ ）が訪れた。 / 前往日本的機會來臨了。,題目：絶好の（ ）を掴む。 答案：チャンス,,,,,
872,ちゃんと,ちゃんと,ちゃんと,[0],情態副詞,好好地 / 規矩地,ご飯を（ ）食べなさい。 / 請好好把飯吃完。,部屋を（ ）片付ける。 / 把房間好好整理乾淨。,題目：ご飯を（ ）食べなさい。 答案：ちゃんと,,,,,
873,注意,ちゅう.い,ちゅうい,[1],名詞 / 自動三 / 他動三,注意 / 提醒,車の運転に（ ）する。 / 注意行車駕駛。,先生に遅刻を（ ）された。 / 被老師提醒（責備）了遲到的事。,題目：車の運転に（ ）する。 答案：注意,,,,,
874,中央,ちゅう.おう,ちゅうおう,[3],名詞,中央 / 中心,部屋の（ ）にテーブルを置く。 / 在房間的中央擺放桌子。,街の（ ）に大きな公園がある。 / 街道的中央座落著一個大公園。,題目：部屋の（ ）にテーブルを置く。 答案：中央,,,,,
875,中古,ちゅう.こ,ちゅうこ,[0],名詞,中古 / 二手,（ ）の車を安く買った。 / 便宜地買了一輛二手車。,この店は（ ）品を扱っている。 / 這家店有販售二手商品。,題目：（ ）の車を安く買った。 答案：中古,,,,,
876,中止,ちゅう.し,ちゅうし,[0],名詞 / 他動三,中止 / 取消,雨のため試合は（ ）になった。 / 因為下雨，比賽被取消了。,旅行の計画を（ ）する。 / 中止旅行的計畫。,題目：雨のため試合は（ ）になった。 答案：中止,,,,,
877,駐車,ちゅう.しゃ,ちゅうしゃ,[0],名詞 / 自動三 / 他動三,停車,ここに車を（ ）しないでください。 / 請不要在這裡停車。,駅の近くの（ ）場を探す。 / 尋找車站附近的停車場。,題目：ここに車を（ ）しないでください。 答案：駐車,,,,,
878,昼食,ちゅう.しょく,ちゅうしょく,[0],名詞,午餐,12時に（ ）をとる。 / 12點吃午餐。,今日の（ ）はカレーライスだ。 / 今天的午餐是咖哩飯。,題目：12時に（ ）をとる。 答案：昼食,,,,,
879,中心,ちゅう.しん,ちゅうしん,[0],名詞,中心 / 核心,台風の（ ）が近づいている。 / 颱風的中心正逐漸逼近。,彼が（ ）になって計画を進める。 / 以他為核心來推進計畫。,題目：台風の（ ）が近づいている。 答案：中心,,,,,
880,注目,ちゅう.もく,ちゅうもく,[0],名詞 / 自動三 / 他動三,注目 / 關注,彼の新しい作品に（ ）が集まる。 / 他的新作品備受關注。,世界中から（ ）されている選手だ。 / 是位受到全世界注目的選手。,題目：彼の新しい作品に（ ）が集まる。 答案：注目,,,,,
881,注文,ちゅう.もん,ちゅうもん,[0],名詞 / 他動三,點餐 / 訂購,レストランで料理を（ ）する。 / 在餐廳點餐。,ネットで本を（ ）した。 / 在網路上訂購了書籍。,題目：レストランで料理を（ ）する。 答案：注文,,,,,
882,長期,ちょう.き,ちょうき,[1],名詞,長期,（ ）の休みを取って海外へ行く。 / 請了長假出國去。,これは（ ）的な計画だ。 / 這是個長期的計畫。,題目：（ ）の休みを取って海外へ行く。 答案：長期,,,,,
883,調査,ちょう.さ,ちょうさ,[1],名詞 / 他動三,調查,事故的原因を（ ）する。 / 調查事故的原因。,アンケート（ ）を行う。 / 進行問卷調查。,題目：事故の原因を（ ）する。 答案：調査,,,,,
884,調子,ちょう.し,ちょうし,[0],名詞,狀況 / 狀態 / 語調,今日は体の（ ）がいい。 / 今天身體狀況很好。,パソコウの（ ）が悪くなった。 / 電腦的狀態變差了（出故障了）。,題目：今日は体の（ ）がいい。 答案：調子,,,,,
885,頂上,ちょう.じょう,ちょうじょう,[3],名詞,山頂 / 頂峰,ついに山の（ ）にたどり着いた。 / 終於抵達了山頂。,（ ）からの景色は最高だ。 / 從山頂俯瞰的景色棒極了。,題目：ついに山の（ ）にたどり着いた。 答案：頂上,,,,,
886,頂戴,ちょう.だい,ちょうだい,[3],名詞 / 他動三,領受 / 收到 / 請給我,お土産を（ ）しました。 / 領受了您送的伴手禮。,お時間を少々（ ）できますか。 / 能請您撥冗給我一點時間嗎？,題目：お土産を（ ）しました。 答案：頂戴,,,,,
887,貯金,ちょ.きん,ちょきん,[0],名詞 / 自動三 / 他動三,存款 / 存錢,将来のために（ ）する。 / 為了將來而存錢。,銀行に（ ）がある。 / 在銀行裡有存款。,題目：将来のために（ ）する。 答案：貯金,,,,,
888,直接,ちょく.せつ,ちょくせつ,[0],名詞 / 程度副詞 / な形,直接,彼から（ ）話を聞く。 / 直接從他那裡聽說。,（ ）手で触らないでください。 / 請不要用手直接觸摸。,題目：彼から（ ）話を聞く。 答案：直接,,,,,
889,著者,ちょ.しゃ,ちょしゃ,[1],名詞,作者 / 著作者,この本の（ ）に会う。 / 與這本書的作者見面。,（ ）のサインをもらう。 / 獲得作者的簽名。,題目：この本の（ ）に会う。 答案：著者,,,,,
890,つい,つい,つい,[1],情態副詞 / 程度副詞,不禁 / 剛才,嬉しくて（ ）笑顔になる。 / 因為高興，不禁露出笑容。,（ ）さっき家に着いたばかりだ。 / 剛才才剛到家。,題目：嬉しくて（ ）笑顔になる。 答案：つい,,,,,
891,遂に,つい.に,ついに,[1],時間副詞,終於 / 終究,（ ）長い工事が完成した。 / 漫長的工程終於完成了。,彼は（ ）約束を守らなかった。 / 他終究還是沒遵守承諾。,題目：（ ）長い工事が完成した。 答案：遂に,,,,,
892,通過,つう.か,つうか,[0],名詞 / 自動三 / 他動三,通過,電車が駅を（ ）する。 / 電車通過車站。,台風が関東地方を（ ）した。 / 颱風通過了關東地方。,題目：電車が駅を（ ）する。 答案：通過,,,,,
893,通学,つう.がく,つうがく,[0],名詞 / 自動三,上學 / 通學,毎日電車で（ ）している。 / 每天搭電車上學。,（ ）に片道一時間かかる。 / 上學單程要花一小時。,題目：毎日電車で（ ）している。 答案：通学,,,,,
894,通勤,つう.きん,つうきん,[0],名詞 / 自動三,上下班 / 通勤,朝の（ ）ラッシュは大変だ。 / 早上的通勤尖峰時段很辛苦。,自転車で（ ）する。 / 騎腳踏車上下班。,題目：朝の（ ）ラッシュは大変だ。 答案：通勤,,,,,
895,通行,つう.こう,つうこう,[0],名詞 / 自動三,通行,この道は車の（ ）が多い。 / 這條路車輛通行頻繁。,工事中で現在は（ ）止めだ。 / 施工中，目前禁止通行。,題目：この道は車の（ ）が多い。 答案：通行,,,,,
896,通じる,つう.じる,つうじる,[0],自動二 / 他動二,相通 / 懂得 / 通往,私の日本語が彼に（ ）た。 / 我的日文他聽懂了。,この道は駅に（ ）ている。 / 這條路通往車站。,題目：私の日本語が彼に（ ）た。 答案：通じる,,,,,
897,捕まる,つか.まる,つかまる,[0],自動一,被捕 / 抓著,犯人が警察に（ ）った。 / 犯人被警察抓到了。,電車の吊り革に（ ）る。 / 抓緊電車的吊環。,題目：犯人が警察に（ ）った。 答案：捕まる,,,,,
898,掴む,つか.む,つかむ,[2],他動一,抓住 / 掌握,ボールを両手でしっかりと（ ）。 / 用雙手緊緊抓住球。,成功のチャンスを（ ）。 / 抓住成功的機會。,題目：ボールを両手でしっかりと（ ）。 答案：掴む,,,,,
899,疲れ,つか.れ,つかれ,[3],名詞,疲勞 / 疲憊,お風呂に入って（ ）をとる。 / 泡澡來消除疲勞。,旅行の（ ）がまだ残っている。 / 旅行的疲勞還殘留著。,題目：お風呂に入って（ ）をとる。 答案：疲れ,,,,,
900,付き合い,つ.き.あ.い,つきあい,[3],名詞,交往 / 應酬 / 往來,近所の人たちと良い（ ）をする。 / 與鄰居保持良好的往來。,明日は仕事の（ ）で飲み会がある。 / 明天因為工作應酬要聚飲。,題目：近所の人たちと良い（ ）をする。 答案：付き合い,,,,,
901,次々,つぎ.つぎ,つぎつぎ,[2],程度副詞 / 時間副詞,接連不斷地 / 依次,新しい問題が（ ）に出てくる。 / 新問題接連不斷地出現。,料理が（ ）と運ばれてきた。 / 料理一道接一道地端了上來。,題目：新しい問題が（ ）に出てくる。 答案：次々,,,,,
902,就く,つ.く,つく,[1],自動一,就任 / 從事,新しい仕事に（ ）。 / 從事新的工作。,大学を卒業して教職に（ ）。 / 大學畢業後就任教職。,題目：新しい仕事に（ ）。 答案：就く,,,,,
903,注ぐ,そそ.ぐ,そそぐ,[0],自動一 / 他動一,注入 / 倒入 / 傾注,コップに水を（ ）。 / 往杯子裡倒水。,研究に全力を（ ）。 / 對研究傾注全力。,題目：コップに水を（ ）。 答案：注ぐ,,,,,
904,土,つち,つち,[2],名詞,土壤 / 泥土,庭の（ ）を掘って花を植える。 / 挖掘庭院的土壤種花。,靴に（ ）がついている。 / 鞋子上沾了泥土。,題目：庭の（ ）を掘って花を植える。 答案：土,,,,,
905,続き,つづ.き,つづき,[0],名詞,續集 / 接續 / 繼續,この小説の（ ）が読みたい。 / 想讀這本小說的續集。,昨日の（ ）から始めましょう。 / 從昨天接下來的地方開始吧。,題目：この小説の（ ）が読みたい。 答案：続き,,,,,
906,包み,つつ.み,つつみ,[3],名詞,包裹 / 包裝,きれいな紙の（ ）を開ける。 / 打開漂亮的紙包裹。,（ ）紙を丁寧に剥がす。 / 小心地撕開包裝紙。,題目：きれいな紙の（ ）を開ける。 答案：包み,,,,,
907,勤める,つと.める,つとめる,[3],自動二 / 他動二,工作 / 服務於,彼は有名な銀行に（ ）ている。 / 他在著名的銀行工作。,会社に長く（ ）る。 / 在公司長久地服務。,題目：彼は有名な銀行に（ ）ている。 答案：勤める,,,,,
908,繋ぐ,つな.ぐ,つなぐ,[0],他動一,連接 / 牽著 / 繫,子どもの手をしっかりと（ ）。 / 緊緊牽著孩子的雙手。,パソコウをネットに（ ）。 / 將電腦連接上網路。,題目：子どもの手をしっかりと（ ）。 答案：繋ぐ,,,,,
909,常に,つね.に,つねに,[1],時間副詞 / 程度副詞,總是 / 經常 / 隨時,彼は（ ）冷静に判断する。 / 他總是能冷靜地做判斷。,（ ）新しい情報に注意を払う。 / 隨時注意最新的情報。,題目：彼は（ ）冷静に判断する。 答案：常に,,,,,
910,つまり,つまり,つまり,[1],慣用,也就是說 / 總之,彼は私の父の弟、せ（ ）叔父です。 / 他是我父親的弟弟，也就是我的叔叔。,（ ）、君が言いたいのはこういうことだね。 / 總之，你想說的就是這麼一回事吧。,題目：彼は私の父の弟、（ ）叔父です。 答案：つまり,,,,,
911,罪,つみ,つみ,[1],名詞,罪 / 罪過,法を犯して（ ）をあがなう。 / 犯法並贖罪。,嘘をついたことに（ ）悪感を持つ。 / 對說謊這件事抱有罪惡感。,題目：法を犯して（ ）をあがなう。 答案：罪,,,,,
912,詰める,つ.める,つめる,[2],他動二 / 自動二,裝填 / 縮短 / 塞滿,カバンに荷物を（ ）。 / 把行李塞進包包裡。,距離を（ ）て座る。 / 縮短距離（挨近一點）坐著。,題目：カバンに荷物を（ ）。 答案：詰める,,,,,
913,積もる,つも.る,つもる,[2],自動一,堆積 / 累積,庭に雪が（ ）った。 / 庭院裡積了雪。,机の上にほこりが（ ）っている。 / 桌上積了灰塵。,題目：庭に雪が（ ）った。 答案：積もる,,,,,
914,梅雨,つ.ゆ,つゆ,[0],名詞,梅雨,6月に入って（ ）が始まった。 / 進入6月，梅雨季開始了。,今年は（ ）明けが遅い。 / 今年的梅雨結束得很晚。,題目：6月に入って（ ）が始まった。 答案：梅雨,,,,,
915,辛い,つら.い,つらい,[2],い形,難受的 / 痛苦的 / 艱難的,毎朝早起きするのは（ ）。 / 每天早上早起很痛苦。,悲しい別れがあって心が（ ）。 / 經歷了悲傷的離別，心裡很難受。,題目：毎朝早起きするのは（ ）。 答案：辛い,,,,,
916,出会い,で.あ.い,であい,[0],名詞,相遇 / 邂逅,旅先で素晴らしい（ ）があった。 / 在旅途中有了很棒的邂逅。,人生は（ ）と別れの繰り返しだ。 / 人生就是不斷地相遇與離別。,題目：旅先で素晴らしい（ ）があった。 答案：出会い,,,,,
917,出会う,で.あ.う,であう,[2],自動一,相遇 / 碰見,駅で偶然昔の友だちに（ ）った。 / 在車站偶然碰見了以前的朋友。,困難に（ ）っても諦めない。 / 即使遇到困難也不放棄。,題目：駅で偶然昔の友だちに（ ）った。 答案：出会う,,,,,
918,提案,てい.あん,ていあん,[0],名詞 / 他動三,提案 / 建議,会議で新しい計画を（ ）する。 / 在會議中提出新的計畫。,彼の（ ）に賛成します。 / 我贊成他的提案。,題目：会議で新しい計画を（ ）する。 答案：提案,,,,,
919,提出,てい.しゅつ,ていしゅつ,[0],名詞 / 他動三,提出 / 繳交,宿題をあしたまでに（ ）してください。 / 請在明天之前繳交作業。,会社に辞表を（ ）した。 / 向公司提出了辭呈。,題目：宿題をあしたまでに（ ）してください。 答案：提出,,,,,
